model	id	Zara	generated arg
gpt4	21	2	parents
gpt4	21	2	parents
gpt4	21	2	parents
mixtral22	21	2	parents
mixtral22	21	2	parents
mixtral22	21	2	parents
gpt4	59	2	body
gpt4	59	2	physical realm
gpt4	59	2	body
gpt4	59	2	physical attraction
gpt4	59	2	physical attraction
gpt4	59	2	Physical intimacy
mixtral22	59	1	love
mixtral22	59	0	intercourse
mixtral22	59	0	reproduction
mixtral22	59	0	reproduction
mixtral22	59	0	reproduction
mixtral22	59	0	reproduction
gpt4	60	2	debt
gpt4	60	2	loan due
gpt4	60	2	debt
gpt4	60	2	loan due
gpt4	60	2	debt
gpt4	60	2	loan
gpt4	60	2	debt
gpt4	60	2	debt
gpt4	60	2	debt
mixtral22	60	0	payment
mixtral22	60	2	debt
mixtral22	60	0	payment
mixtral22	60	1	payment before due date
mixtral22	60	2	debt
mixtral22	60	0	payment
mixtral22	60	0	money
mixtral22	60	0	payment
mixtral22	60	0	payment
gpt4	61	2	travel
gpt4	61	2	travel experience
gpt4	61	2	those who do not travel
gpt4	61	2	experiences
gpt4	61	2	travel
gpt4	61	2	travel/experience
gpt4	61	2	those who do not travel
gpt4	61	2	those who do not travel
mixtral22	61	2	travel
mixtral22	61	2	travel
mixtral22	61	2	travel
mixtral22	61	2	travel
mixtral22	61	2	travel
mixtral22	61	2	travel
mixtral22	61	2	travel
mixtral22	61	2	travel
gpt4	62	2	impending changes
gpt4	62	2	imminent changes
gpt4	62	2	Happenings/Changes
gpt4	62	2	impending change
gpt4	62	2	impending changes
mixtral22	62	0	radar
mixtral22	62	0	warning system
mixtral22	62	1	new events
mixtral22	62	0	reliable system
gpt4	63	0	freedom
gpt4	63	0	freedom
gpt4	63	0	freedom
mixtral22	63	0	freedom
gpt4	64	2	lions
gpt4	64	2	lions
gpt4	64	2	lions
gpt4	64	2	lions
gpt4	64	2	lions
gpt4	64	2	lions
gpt4	64	2	lions
mixtral22	64	2	lions
mixtral22	64	2	lions
mixtral22	64	2	lions
mixtral22	64	2	lions
mixtral22	64	2	lions
mixtral22	64	2	lions
mixtral22	64	2	lions
mixtral22	64	2	lions
gpt4	65	1	behavior
gpt4	65	2	reviews or judgments
gpt4	65	2	messages/reviews
gpt4	65	1	judgment
gpt4	65	2	reviews
gpt4	65	1	criticism or judgement
gpt4	65	1	opinions
gpt4	65	1	opinions/judgments
mixtral22	65	0	pigs
mixtral22	65	0	food
mixtral22	65	0	people who appreciate good things
gpt4	67	2	mailbox
gpt4	67	2	mailbox
gpt4	67	2	mailbox
gpt4	67	2	mailbox
mixtral22	67	0	unwanted communication
mixtral22	67	0	unwanted mail
mixtral22	67	2	mailbox
gpt4	68	2	Stability
gpt4	68	2	stability
gpt4	68	2	stability
gpt4	68	2	stability
gpt4	68	2	stability
gpt4	68	0	inconsistency
gpt4	68	0	Desire
gpt4	68	2	value or popularity
gpt4	68	2	public opinion
mixtral22	68	0	fickle
mixtral22	68	2	people
mixtral22	68	0	plate
mixtral22	68	0	mind
gpt4	70	0	pressure
gpt4	70	0	pressure system
gpt4	70	0	pressure
gpt4	70	0	pressure
gpt4	70	0	pressure
gpt4	70	0	pressure
gpt4	70	0	pressure system
gpt4	70	0	pressure system
gpt4	70	0	pressure
mixtral22	70	0	pressure
mixtral22	70	0	pressure
mixtral22	70	0	pressure
mixtral22	70	0	pressure
mixtral22	70	0	pressure
mixtral22	70	0	pressure relief
mixtral22	70	0	pressure
mixtral22	70	0	pressure
mixtral22	70	0	pressure
gpt4	71	1	friendship
gpt4	71	1	friendship
gpt4	71	1	friendship
gpt4	71	2	stronger friendship
gpt4	71	2	stronger friendship
gpt4	71	1	friendship
gpt4	71	1	friendship
mixtral22	71	1	friendship
mixtral22	71	1	friendship
