ID,T1,T2,S1,S2,n. implicit term,Sentence,Author,ref page or link,source,long context
0,skyscraper,architecture,boast,interpersonal-relations,0,A skyscraper is in architecture as a boast is in interpersonal relations.,Mason Cooley,7,Grothe,
1,committee,ideas,cul-de-sac,people,0,A committee is a cul-de-sac down which ideas are lured and then quietly strangled.,Barnett Cocks,1,Grothe,
2,envious,passion,iron,rust,0,"As iron is eaten away by rust, so the envious are consumed by their own passion.",Antisthene,4,Grothe,
3,reading,mind,exercise,body,0,Reading is to the mind what exercise is to the body.,Joseph Addison,4,Grothe,
4,good news,far country,cold water,thirsty soul,0,"As cold waters to a thirsty soul, so is good news from a far country.",The bible proverbs 25:25,4,Grothe,
5,tears,soul,soap,body,0,"As soap is to the body, tears are to the soul.",Yiddish proverb,4,Grothe,
6,insanity,art,garlic,salad,0,"What garlic is to salad, insanity is to art.",Augustus Saint-Gaudens,4,Grothe,
7,mural,restaurant,food,museum,0,The murals in restaurants are on a par with the food in museums.,Peter de Vries,5,Grothe,
8,Al Capone,crime,J.P. Morgan,Wall Street,0,"Al Capone was to crime what J.P. Morgan was to Wall Street, the first man to exert national influence over his trade.",Andrew Sinclair,5,Grothe,
9,prisons,crime,greenhouses,plants,0,Prisons are to crime what greenhouses are to plants.,Henry David Thoreau,6,Grothe,
10,men and women,world,players,stage,0,"All the world's a stage, and all the men and women merely players. They have their exits and entrances, and one man in his time plays many parts.",Shakespeare,9,Grothe,
11,books,human,shells,lobsters,0,"Books... are like lobster shells, we surround ourselves with them, then we grow out of them and leave them behind, as evidence of our earlier stage of development.",Dorothy L. Slayers,12,Grothe,
12,novels,movies,wife,mistress,0,"Novels are like wives;  you don't talk about them. But movies are different; they are like mistresses, and you can brag a bit.",Anton Chekhov,11,Grothe,
13,medicine,literature,wife,mistress,0,"Medicine is my lawful wife and literature is my mistress; when I tire of one, I spend the night with the other.",Anton Chekhov,11,Grothe,
14,love,life,the only flower,banks of grey torrent,0,"On the banks of the grey torrent of life, love is the only flower.",,167,Grothe,
15,books,movie,oxen,bouillon cubes,0,Having your book turned into a movie is like seeing your oxen turned into bouillon cubes.,John Le Carré,239,Grothe,
